id,Airline Name,Gender,Customer Type,Age,Travel Date,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Overall Satisfaction Rating,Satisfaction Level
58336,Emirates,Female,disloyal Customer,24,11-08-2021,Business travel,Eco,296,2,0,1,4,5,1,5,5,3,3,4,4,4,5,9,0,3.29,neutral
95528,Qatar Airways,Male,Loyal Customer,27,14-03-2006,Personal Travel,Eco Plus,248,4,1,4,2,1,4,1,1,1,1,3,3,3,1,0,22,2.14,dissatisfied
112689,ANA All Nippon Airways,Female,disloyal Customer,24,30-07-2010,Business travel,Eco,605,1,0,2,2,1,2,1,1,4,4,4,5,5,1,0,0,2.36,dissatisfied
44791,Qatar Airways,Male,Loyal Customer,35,18-02-2018,Personal Travel,Eco,1250,3,4,3,2,2,3,2,2,3,4,4,4,4,2,7,30,3,neutral
43199,Air India,Female,Loyal Customer,30,11-04-2017,Personal Travel,Eco Plus,651,4,4,4,3,5,4,5,5,3,3,3,4,4,5,0,0,4,satisfied
101778,Air France,Male,Loyal Customer,34,19-02-2021,Personal Travel,Business,1521,4,4,4,5,5,4,4,4,4,4,4,3,4,4,9,0,4.07,satisfied
52919,Singapore Airlines,Female,Loyal Customer,36,05-03-2004,Business travel,Eco,679,4,3,3,3,4,4,4,4,1,3,5,2,3,4,12,48,3.36,neutral
57137,Air France,Male,Loyal Customer,10,28-06-2019,Personal Travel,Eco,1222,3,1,3,4,4,3,4,4,4,2,3,2,3,4,0,0,3.14,neutral
54778,Lufthansa,Male,Loyal Customer,27,27-01-2006,Personal Travel,Eco Plus,965,2,4,2,1,4,2,4,4,4,3,5,5,4,4,4,0,3.43,neutral
9180,Qatar Airways,Male,Loyal Customer,43,17-01-2015,Business travel,Eco Plus,416,4,1,3,1,4,4,4,4,2,3,3,2,3,4,38,35,3,neutral
11800,Lufthansa,Male,Loyal Customer,63,25-10-2015,Business travel,Eco Plus,395,2,2,2,2,2,2,2,2,1,2,4,4,4,2,0,2,2.36,dissatisfied
61861,Cathay Pacific,Female,Loyal Customer,62,02-05-2013,Personal Travel,Eco Plus,1464,3,5,3,4,3,3,5,1,1,3,1,4,1,3,26,30,2.86,dissatisfied
72385,Indigo,Male,Loyal Customer,60,29-01-2008,Business travel,Business,985,4,4,4,4,3,4,4,4,4,4,4,3,4,5,0,10,3.93,satisfied
59479,Emirates,Female,Loyal Customer,28,10-11-2002,Business travel,Business,2399,3,3,3,3,4,5,4,4,5,3,4,4,5,4,19,0,3.86,satisfied
8166,British Airways,Female,Loyal Customer,31,25-07-2017,Business travel,Business,2110,2,2,5,2,5,5,5,5,4,2,5,3,4,5,0,0,3.86,satisfied
9920,Singapore Airlines,Male,Loyal Customer,57,14-12-2020,Business travel,Business,357,2,1,1,1,1,3,3,2,2,2,2,4,2,1,48,49,1.93,very dissatisfied
10242,Vistara,Female,Loyal Customer,18,17-11-2002,Personal Travel,Business,166,4,4,4,3,3,4,2,3,3,3,4,4,5,3,0,0,3.5,neutral
53309,Vistara,Female,Loyal Customer,35,01-10-2004,Personal Travel,Eco,758,4,5,4,3,5,4,5,5,5,5,4,3,4,5,3,0,4.36,satisfied
98344,British Airways,Male,disloyal Customer,23,04-05-2013,Business travel,Business,1189,4,0,4,5,1,4,1,1,5,2,5,3,4,1,0,0,2.86,dissatisfied
103158,Indigo,Female,Loyal Customer,57,17-10-2017,Business travel,Business,2383,1,1,1,1,4,4,4,4,4,4,4,5,4,5,0,0,3.29,neutral
51261,Lufthansa,Male,Loyal Customer,40,25-05-2012,Business travel,Eco Plus,447,5,5,5,5,5,5,5,5,2,3,1,5,1,5,0,0,4.07,satisfied
40567,Cathay Pacific,Male,disloyal Customer,21,20-04-2020,Business travel,Eco,391,4,0,4,4,3,4,1,3,2,1,5,2,5,3,0,0,2.93,dissatisfied
50292,Delta Air Lines,Male,Loyal Customer,23,26-11-2012,Business travel,Business,337,4,5,3,5,4,4,4,4,3,5,4,4,3,4,43,38,4,satisfied
40140,Emirates,Female,Loyal Customer,9,18-01-2014,Personal Travel,Eco Plus,200,3,3,3,3,5,3,4,5,4,3,3,1,4,5,0,0,3.5,neutral
122949,Qatar Airways,Male,Loyal Customer,47,16-09-2019,Business travel,Business,3094,4,1,4,4,3,5,5,4,4,4,4,5,4,4,0,0,3.93,satisfied
57492,Air France,Female,Loyal Customer,59,07-12-2010,Business travel,Business,1618,1,4,1,1,5,5,5,4,4,4,4,4,4,3,0,0,3.5,neutral
80692,Cathay Pacific,Male,disloyal Customer,20,03-06-2021,Business travel,Eco,748,2,2,2,3,4,2,4,4,4,4,4,1,4,4,0,0,3.14,neutral
73879,Indigo,Male,disloyal Customer,24,14-02-2009,Business travel,Eco,1422,3,3,3,1,3,3,3,3,5,2,5,4,5,3,0,0,3.29,neutral
83983,Vistara,Female,Loyal Customer,49,21-06-2014,Business travel,Business,1897,5,5,5,5,3,4,5,5,5,5,5,4,5,4,0,0,4.64,very satisfied
7004,Air France,Female,Loyal Customer,22,29-11-2023,Business travel,Business,436,1,1,1,1,2,2,2,2,3,4,4,3,3,2,57,47,2.21,dissatisfied
55123,ANA All Nippon Airways,Female,Loyal Customer,12,16-08-2020,Personal Travel,Eco,1635,3,4,4,3,3,4,3,3,3,3,4,3,4,3,27,41,3.36,neutral
104400,Delta Air Lines,Male,disloyal Customer,26,16-05-2017,Business travel,Business,1138,2,2,2,3,2,4,4,5,2,5,4,4,3,4,285,285,3.29,neutral
44352,Qatar Airways,Female,disloyal Customer,26,31-03-2007,Business travel,Business,596,4,4,4,4,4,4,4,4,4,5,4,3,4,4,0,1,4,satisfied
111708,Delta Air Lines,Female,Loyal Customer,33,25-11-2011,Business travel,Business,2774,2,2,2,2,4,5,5,2,2,2,2,4,2,3,0,0,2.79,dissatisfied
13306,Delta Air Lines,Female,Loyal Customer,44,27-09-2022,Business travel,Business,1800,1,1,1,1,4,5,5,4,4,4,4,4,4,4,0,0,3.29,neutral
37246,Qatar Airways,Male,Loyal Customer,43,03-08-2022,Personal Travel,Business,1005,3,3,3,3,5,3,4,2,2,3,2,3,2,3,0,0,2.93,dissatisfied
31219,Air France,Female,Loyal Customer,23,16-10-2023,Personal Travel,Eco,628,2,5,2,4,4,2,4,4,4,3,5,5,4,4,0,0,3.71,neutral
14315,Air France,Female,Loyal Customer,55,04-09-2004,Business travel,Business,3861,2,1,1,1,3,3,3,2,2,3,2,1,2,1,42,39,1.93,very dissatisfied
26882,Vistara,Female,Loyal Customer,25,16-01-2015,Business travel,Business,3145,3,3,3,3,4,4,4,4,4,1,1,5,1,4,0,0,3.14,neutral
2011,Qatar Airways,Female,Loyal Customer,72,24-08-2017,Business travel,Eco Plus,293,1,2,2,2,3,4,4,1,1,1,1,2,1,2,0,0,1.93,very dissatisfied
62931,Delta Air Lines,Female,Loyal Customer,51,25-01-2009,Business travel,Business,967,1,1,1,1,5,4,5,5,5,5,5,5,5,4,0,0,3.71,neutral
12620,British Airways,Female,Loyal Customer,35,28-04-2000,Personal Travel,Eco,802,1,4,1,5,2,1,2,2,2,5,5,4,3,2,0,0,2.79,dissatisfied
58402,Lufthansa,Male,Loyal Customer,51,09-12-2002,Business travel,Eco,528,2,3,3,3,2,2,2,2,1,2,4,4,3,2,0,0,2.5,dissatisfied
9070,Cathay Pacific,Male,disloyal Customer,37,09-04-2021,Business travel,Business,108,5,5,5,5,3,5,3,3,3,2,5,5,5,3,0,5,4.07,satisfied
117902,Emirates,Male,Loyal Customer,44,13-09-2020,Business travel,Business,3331,3,3,3,3,5,5,5,4,4,4,4,4,4,5,0,12,4,satisfied
42068,Singapore Airlines,Female,Loyal Customer,44,20-10-2000,Personal Travel,Eco,241,4,4,4,3,2,3,3,4,4,4,4,3,4,1,0,0,3.36,neutral
127591,Vistara,Female,Loyal Customer,40,26-01-2023,Business travel,Business,1773,2,2,2,2,2,2,3,2,2,2,2,3,2,3,0,0,2.21,dissatisfied
26729,Emirates,Female,Loyal Customer,55,03-10-2006,Business travel,Eco Plus,270,5,2,2,2,2,3,3,5,5,5,5,5,5,3,42,43,3.71,neutral
11653,Singapore Airlines,Female,Loyal Customer,40,04-10-2016,Business travel,Business,837,1,1,1,1,4,5,4,5,5,5,5,5,5,4,0,0,3.64,neutral
127948,Delta Air Lines,Female,Loyal Customer,53,12-03-2007,Business travel,Business,1999,4,4,4,4,2,4,5,4,4,4,4,4,4,3,7,0,3.86,satisfied
44573,Singapore Airlines,Male,Loyal Customer,67,05-04-2017,Business travel,Business,157,3,4,4,4,1,3,3,2,2,2,3,1,2,2,14,32,2.57,dissatisfied
95812,ANA All Nippon Airways,Female,Loyal Customer,56,29-07-2009,Personal Travel,Eco,1050,1,5,1,1,5,1,1,1,1,1,1,5,1,2,0,3,1.93,very dissatisfied
110437,Air India,Female,Loyal Customer,12,29-08-2000,Personal Travel,Eco,919,4,3,4,2,5,4,5,5,3,5,4,4,3,5,10,2,4,satisfied
100494,Delta Air Lines,Male,Loyal Customer,27,10-04-2010,Business travel,Business,2978,5,5,5,5,4,4,4,4,5,3,5,5,5,4,0,0,4.5,very satisfied
3927,Air France,Female,Loyal Customer,63,08-07-2015,Personal Travel,Eco Plus,213,4,2,0,3,2,4,4,2,2,0,1,3,2,4,0,0,2.36,dissatisfied
126303,ANA All Nippon Airways,Female,Loyal Customer,31,23-02-2013,Personal Travel,Eco,507,2,5,2,5,3,2,3,3,5,5,5,4,4,3,0,0,3.64,neutral
39516,Qatar Airways,Female,Loyal Customer,48,06-04-2004,Business travel,Business,452,3,3,3,3,3,1,3,4,4,4,4,2,4,1,0,3,3,neutral
29190,Indigo,Male,Loyal Customer,30,11-02-2022,Personal Travel,Eco Plus,1050,3,4,3,3,4,3,4,4,3,3,4,4,5,4,0,0,3.64,neutral
48927,Qatar Airways,Male,Loyal Customer,59,14-06-2018,Business travel,Eco,363,4,1,1,1,4,4,4,4,4,3,1,5,4,4,0,0,3.14,neutral
53704,Air France,Male,disloyal Customer,9,07-01-2017,Business travel,Eco,1208,1,2,2,4,4,2,4,4,4,1,3,1,3,4,54,58,2.79,dissatisfied
101255,Air India,Female,Loyal Customer,47,23-09-2011,Business travel,Business,2176,3,3,3,3,4,5,4,5,5,5,5,4,5,3,61,40,4.07,satisfied
44074,Singapore Airlines,Female,disloyal Customer,39,23-11-2021,Business travel,Business,651,2,2,2,4,5,2,3,5,2,3,4,5,5,5,0,0,3.5,neutral
18828,Singapore Airlines,Female,disloyal Customer,21,28-06-2004,Business travel,Business,448,5,0,5,4,4,5,5,4,4,3,2,4,3,4,8,11,3.71,neutral
14779,Air India,Female,Loyal Customer,40,26-12-2014,Business travel,Business,2365,4,1,1,1,3,3,3,4,4,4,4,2,4,2,1,2,2.86,dissatisfied
70538,Indigo,Male,Loyal Customer,33,09-11-2009,Business travel,Business,2908,3,3,3,3,5,5,5,5,3,4,4,5,4,5,0,0,4.07,satisfied
68712,Delta Air Lines,Male,Loyal Customer,15,05-07-2000,Personal Travel,Eco,237,5,5,5,2,2,5,2,2,3,2,4,5,4,2,0,0,3.43,neutral
125078,Vistara,Female,Loyal Customer,59,30-06-2012,Business travel,Business,3803,5,5,5,5,3,5,4,3,3,4,3,5,3,3,0,0,4,satisfied
56837,Indigo,Female,Loyal Customer,58,29-01-2004,Business travel,Business,1605,4,4,3,4,2,5,5,3,3,3,3,4,3,5,5,0,3.64,neutral
535,Emirates,Female,Loyal Customer,42,22-11-2003,Business travel,Business,1956,0,0,0,4,3,4,4,1,1,1,1,3,1,4,31,22,1.93,very dissatisfied
82593,British Airways,Male,disloyal Customer,70,20-03-2009,Business travel,Business,408,3,3,3,5,2,3,2,2,4,3,5,3,4,2,0,0,3.14,neutral
98837,Vistara,Female,Loyal Customer,19,04-10-2014,Personal Travel,Eco,763,5,5,5,2,4,5,4,4,3,4,5,3,4,4,0,0,4.07,satisfied
51514,Cathay Pacific,Female,Loyal Customer,49,22-06-2001,Business travel,Eco,261,4,5,5,5,1,5,2,4,4,4,4,4,4,4,0,0,3.93,satisfied
21371,British Airways,Male,Loyal Customer,48,13-05-2000,Business travel,Business,554,2,1,1,1,4,2,3,2,2,2,2,3,2,4,105,93,2.21,dissatisfied
70635,Qatar Airways,Female,Loyal Customer,36,08-03-2006,Business travel,Business,1217,3,3,3,3,2,5,5,4,4,4,4,4,4,4,13,0,3.71,neutral
23763,Air France,Male,Loyal Customer,39,03-09-2023,Personal Travel,Eco Plus,1048,3,4,3,2,3,3,3,3,5,3,5,3,5,3,29,27,3.43,neutral
59270,Cathay Pacific,Female,Loyal Customer,25,16-07-2001,Personal Travel,Eco,4963,2,5,2,4,2,5,2,5,3,4,4,2,3,2,0,0,3.21,neutral
101078,Cathay Pacific,Male,Loyal Customer,43,24-11-2003,Business travel,Business,795,3,1,1,1,3,3,4,3,3,3,3,4,3,4,27,13,2.79,dissatisfied
105265,British Airways,Female,Loyal Customer,11,03-05-2022,Personal Travel,Eco,2106,3,3,3,1,5,3,5,5,4,3,3,3,3,5,0,0,3.5,neutral
8336,Qatar Airways,Male,Loyal Customer,43,30-10-2015,Business travel,Business,1815,3,3,3,3,3,5,4,5,5,5,5,5,5,4,0,0,4.14,satisfied
127882,Lufthansa,Male,Loyal Customer,48,29-03-2004,Personal Travel,Eco,1276,4,4,4,2,5,4,5,5,5,3,5,5,5,5,2,0,4.36,satisfied
106903,Air France,Male,Loyal Customer,50,09-01-2022,Personal Travel,Eco,704,3,4,3,1,2,3,2,2,1,5,4,1,1,2,2,0,2.43,dissatisfied
63272,Delta Air Lines,Female,Loyal Customer,45,20-01-2021,Business travel,Business,3709,5,5,5,5,2,5,5,4,4,4,4,3,4,3,0,0,4.14,satisfied
27469,Lufthansa,Female,Loyal Customer,50,15-08-2023,Business travel,Eco,671,2,1,1,1,1,2,2,2,2,2,2,4,2,1,0,0,1.79,very dissatisfied
37278,ANA All Nippon Airways,Male,disloyal Customer,25,11-01-2020,Business travel,Business,1074,4,3,4,5,4,4,4,4,4,1,3,4,1,4,0,0,3.5,neutral
103939,British Airways,Male,disloyal Customer,24,13-05-2017,Business travel,Eco,770,3,3,3,3,4,3,4,4,1,2,4,2,4,4,32,35,3.14,neutral
125917,British Airways,Male,Loyal Customer,11,08-09-2016,Personal Travel,Eco,920,3,1,3,2,1,3,1,1,2,2,2,3,2,1,95,88,1.93,very dissatisfied
45151,Qatar Airways,Female,Loyal Customer,32,02-12-2015,Business travel,Eco,174,5,4,5,4,5,5,5,5,1,1,2,2,2,5,0,0,3.64,neutral
48571,Vistara,Male,Loyal Customer,9,14-05-2010,Personal Travel,Eco,853,1,3,1,3,3,1,3,3,2,1,1,1,4,3,39,36,2.14,dissatisfied
55034,Cathay Pacific,Male,Loyal Customer,30,22-07-2012,Business travel,Business,1635,3,5,5,5,3,3,3,3,1,1,2,2,4,3,0,30,3.07,neutral
123286,Singapore Airlines,Male,Loyal Customer,40,17-02-2022,Personal Travel,Eco,650,5,4,5,3,3,5,3,3,5,1,3,3,2,3,0,0,3.43,neutral
45820,Delta Air Lines,Female,Loyal Customer,62,31-08-2016,Personal Travel,Eco,216,3,4,3,3,3,4,4,5,5,3,5,2,5,1,0,0,3.57,neutral
75634,Cathay Pacific,Male,Loyal Customer,48,17-04-2005,Personal Travel,Eco Plus,337,3,4,3,3,4,3,4,4,5,3,4,4,5,4,0,0,3.79,neutral
5394,ANA All Nippon Airways,Female,Loyal Customer,27,05-11-2014,Personal Travel,Eco,812,3,1,3,3,3,3,2,3,3,1,4,1,3,3,16,20,2.57,dissatisfied
55260,Vistara,Female,Loyal Customer,58,29-03-2006,Business travel,Business,1571,2,2,2,2,4,4,5,5,5,4,5,4,5,5,16,0,3.86,satisfied
66454,Qatar Airways,Male,Loyal Customer,47,02-10-2002,Personal Travel,Eco,1217,3,4,3,2,4,3,4,4,4,5,4,3,4,4,17,3,3.64,neutral
69515,Delta Air Lines,Female,Loyal Customer,40,24-06-2000,Business travel,Business,2475,5,5,5,5,5,5,5,3,3,3,5,5,4,5,4,0,4.5,very satisfied
75683,Emirates,Male,Loyal Customer,22,02-04-2009,Personal Travel,Business,868,1,1,1,3,4,1,4,4,4,1,3,4,4,4,7,18,2.79,dissatisfied
91702,Lufthansa,Female,disloyal Customer,29,03-03-2005,Business travel,Business,626,1,1,1,1,3,1,3,3,4,2,4,4,4,3,5,9,2.5,dissatisfied
72511,Air India,Female,Loyal Customer,54,25-02-2019,Business travel,Eco,1121,3,3,3,3,2,4,4,3,3,3,3,4,3,3,0,0,3.14,neutral
51410,Vistara,Male,Loyal Customer,45,17-05-2019,Personal Travel,Eco Plus,86,1,5,1,1,1,1,1,1,3,5,4,3,4,1,0,0,2.29,dissatisfied
33234,Lufthansa,Female,disloyal Customer,27,07-06-2005,Business travel,Eco Plus,101,3,3,3,3,1,3,1,1,2,1,2,2,4,1,0,0,2.14,dissatisfied
66310,Vistara,Female,Loyal Customer,51,19-06-2020,Business travel,Business,852,1,2,1,1,4,5,5,4,4,5,4,4,4,3,0,0,3.36,neutral
18582,Lufthansa,Male,Loyal Customer,50,27-04-2001,Business travel,Eco,190,4,5,5,5,4,4,4,4,1,1,4,2,3,4,0,0,3.57,neutral
46352,Indigo,Female,Loyal Customer,17,25-09-2012,Personal Travel,Eco,977,3,3,3,3,2,3,2,2,3,3,2,5,2,2,20,17,2.71,dissatisfied
79425,Singapore Airlines,Male,Loyal Customer,43,15-04-2023,Personal Travel,Eco,502,1,4,1,3,4,1,4,4,4,2,5,4,4,4,0,0,3.21,neutral
87697,Emirates,Male,Loyal Customer,35,10-09-2003,Personal Travel,Eco,606,2,5,2,2,3,2,3,3,3,2,4,4,4,3,39,48,3,neutral
50049,Air France,Female,Loyal Customer,35,19-02-2000,Business travel,Eco,337,3,1,1,1,3,3,3,3,3,1,3,4,4,3,34,33,2.57,dissatisfied
9491,Air India,Male,Loyal Customer,42,31-05-2000,Business travel,Eco,239,2,5,5,5,2,2,2,2,3,5,3,1,4,2,0,0,3.07,neutral
66943,Lufthansa,Male,Loyal Customer,41,12-03-2007,Business travel,Business,1119,1,1,4,1,4,4,5,5,5,5,5,4,5,3,0,0,3.71,neutral
82689,Air France,Female,disloyal Customer,38,30-09-2003,Business travel,Eco,632,1,3,2,2,1,2,1,1,2,2,3,4,2,1,5,16,1.93,very dissatisfied
117735,Vistara,Female,Loyal Customer,34,31-12-2001,Business travel,Business,3349,1,2,2,2,3,3,3,1,1,1,1,4,1,4,128,115,2.07,dissatisfied
102662,British Airways,Male,Loyal Customer,37,11-09-2005,Business travel,Business,2646,1,1,1,1,5,4,5,5,5,5,5,3,5,3,27,24,3.5,neutral
83558,Cathay Pacific,Female,Loyal Customer,28,04-06-2005,Personal Travel,Eco,1865,2,3,2,4,5,2,5,5,4,3,4,1,3,5,51,43,3.43,neutral
54317,Air India,Male,Loyal Customer,48,02-10-2010,Business travel,Business,1597,1,1,1,1,2,5,4,5,5,4,5,4,5,5,0,0,3.43,neutral
106705,British Airways,Female,Loyal Customer,16,19-06-2018,Personal Travel,Eco,516,1,1,1,3,1,1,3,1,3,3,3,2,4,1,0,0,2,dissatisfied
41341,Air France,Male,Loyal Customer,16,28-09-2009,Personal Travel,Eco,689,1,2,1,2,4,1,4,4,2,2,3,3,2,4,1,0,2.5,dissatisfied
65710,Singapore Airlines,Male,Loyal Customer,56,25-12-2005,Business travel,Business,2805,4,4,4,4,5,5,5,5,5,5,5,3,5,5,84,75,4.57,very satisfied
74694,Lufthansa,Male,Loyal Customer,61,14-07-2007,Personal Travel,Eco,1235,2,5,2,4,3,2,3,3,3,2,4,5,4,3,0,10,3.21,neutral
82867,Lufthansa,Male,disloyal Customer,25,24-11-2001,Business travel,Business,594,2,0,2,4,5,2,5,5,4,4,4,3,4,5,19,60,3.5,neutral
50783,Delta Air Lines,Female,Loyal Customer,70,13-01-2008,Personal Travel,Eco,209,2,2,2,3,5,3,4,2,2,2,2,3,2,1,0,4,2.5,dissatisfied
119217,Delta Air Lines,Male,Loyal Customer,21,02-06-2009,Personal Travel,Eco,331,3,2,2,2,5,2,5,5,2,2,2,3,3,5,12,11,3.07,neutral
38621,Qatar Airways,Female,Loyal Customer,51,24-09-2015,Business travel,Business,2611,2,2,2,2,2,5,5,4,4,4,4,5,4,5,41,20,3.57,neutral
35067,Cathay Pacific,Male,Loyal Customer,39,08-07-2023,Business travel,Business,2502,3,4,4,4,5,4,4,3,3,3,3,3,3,3,0,0,3.5,neutral
36685,Qatar Airways,Female,Loyal Customer,9,03-11-2005,Personal Travel,Eco,1185,4,1,4,4,5,4,5,5,1,3,3,4,3,5,0,0,3.64,neutral
7545,Singapore Airlines,Male,Loyal Customer,40,01-09-2012,Business travel,Business,2694,1,1,1,1,2,5,5,4,4,4,4,4,4,3,0,0,3.07,neutral
123616,Air India,Female,Loyal Customer,49,05-12-2011,Business travel,Eco Plus,1773,3,4,4,4,5,3,4,2,2,3,2,3,2,2,0,6,3.07,neutral
32976,Air India,Male,Loyal Customer,54,21-11-2011,Personal Travel,Eco,101,2,4,2,3,3,2,3,3,5,5,5,3,4,3,0,0,3.36,neutral
33841,British Airways,Male,Loyal Customer,30,09-04-2004,Business travel,Eco,1562,0,0,0,3,4,0,4,4,5,3,5,5,3,4,29,1,2.86,dissatisfied
22331,Cathay Pacific,Female,Loyal Customer,39,22-10-2013,Business travel,Business,2329,5,5,5,5,4,5,1,4,4,4,5,2,4,2,0,0,3.93,satisfied
127202,Cathay Pacific,Female,Loyal Customer,49,25-07-2009,Business travel,Eco Plus,370,2,3,2,3,4,5,3,2,2,2,2,5,2,1,0,0,2.71,dissatisfied
8321,Lufthansa,Female,Loyal Customer,70,28-06-2016,Personal Travel,Eco Plus,294,2,4,2,1,5,5,4,2,2,2,2,3,2,5,0,0,2.93,dissatisfied
5423,Vistara,Female,Loyal Customer,35,22-03-2001,Personal Travel,Eco Plus,589,2,4,2,2,2,2,2,2,5,2,4,3,4,2,0,0,2.71,dissatisfied
104937,Cathay Pacific,Female,Loyal Customer,56,20-11-2018,Business travel,Business,3303,5,5,5,5,2,4,4,5,5,5,5,3,5,3,17,5,4.36,satisfied
49789,Indigo,Female,disloyal Customer,62,18-03-2020,Business travel,Eco,86,4,0,5,5,3,5,1,3,1,2,1,1,3,3,67,81,2.64,dissatisfied
27394,ANA All Nippon Airways,Female,Loyal Customer,25,09-05-2019,Business travel,Business,1563,4,4,4,4,4,5,4,4,5,3,4,4,3,4,0,0,4,satisfied
129217,ANA All Nippon Airways,Male,Loyal Customer,53,01-12-2017,Personal Travel,Business,1504,2,4,2,2,4,4,4,3,3,2,3,4,3,4,0,0,3.14,neutral
124162,Air India,Female,Loyal Customer,27,08-06-2020,Business travel,Eco,2133,4,4,4,4,4,4,4,4,2,1,4,4,4,4,0,0,3.64,neutral
85588,Cathay Pacific,Female,disloyal Customer,22,08-03-2013,Business travel,Eco,259,1,1,1,2,4,1,4,4,2,4,2,2,3,4,34,27,2.5,dissatisfied
57903,British Airways,Female,Loyal Customer,66,19-04-2014,Business travel,Business,305,3,5,5,5,1,3,3,3,3,3,3,4,3,4,0,0,3.43,neutral
17210,Qatar Airways,Female,Loyal Customer,66,29-07-2005,Personal Travel,Eco Plus,487,3,2,3,3,3,4,4,4,4,3,4,3,4,4,0,2,3.43,neutral
88058,Singapore Airlines,Female,Loyal Customer,57,10-06-2002,Business travel,Business,2099,5,5,5,5,2,5,4,4,4,4,4,5,4,4,0,0,4.29,satisfied
58086,Delta Air Lines,Female,Loyal Customer,25,01-06-2009,Business travel,Business,3104,2,2,2,2,2,2,2,2,1,2,3,3,3,2,105,100,2.14,dissatisfied
17220,Air India,Male,Loyal Customer,18,19-03-2014,Personal Travel,Business,872,5,5,4,1,4,4,4,4,3,3,4,2,1,4,0,0,3.43,neutral
86697,Lufthansa,Male,Loyal Customer,52,08-12-2006,Business travel,Business,1747,1,1,1,1,5,4,4,5,5,5,5,3,5,3,0,4,3.43,neutral
29977,ANA All Nippon Airways,Female,disloyal Customer,44,13-02-2014,Business travel,Eco,95,1,1,1,3,5,1,5,5,4,5,4,4,3,5,0,0,3.36,neutral
66569,Cathay Pacific,Male,Loyal Customer,45,13-09-2000,Business travel,Business,624,5,5,5,5,5,5,5,3,3,3,3,3,3,5,0,0,4.14,satisfied
83438,Singapore Airlines,Male,Loyal Customer,71,09-05-2001,Business travel,Eco Plus,632,1,5,5,5,1,1,1,1,3,1,3,1,3,1,73,89,2.29,dissatisfied
55613,Indigo,Male,Loyal Customer,68,26-05-2009,Personal Travel,Eco,404,4,5,4,5,5,4,5,5,3,5,5,4,4,5,0,0,4.5,very satisfied
18893,Indigo,Male,disloyal Customer,38,16-02-2020,Business travel,Eco,151,1,2,1,3,2,1,2,2,3,5,4,2,3,2,0,0,2.36,dissatisfied
47966,Air France,Male,Loyal Customer,16,04-05-2011,Personal Travel,Eco,451,1,5,1,1,5,1,4,5,3,2,5,2,1,5,0,0,2.93,dissatisfied
93052,Singapore Airlines,Female,Loyal Customer,57,01-06-2007,Business travel,Business,2195,0,0,0,5,2,5,4,4,4,2,2,3,4,4,0,0,2.79,dissatisfied
56926,Singapore Airlines,Female,disloyal Customer,18,25-07-2003,Business travel,Business,733,0,0,0,3,0,4,4,3,2,5,5,4,3,4,4,0,2.64,dissatisfied
69257,Air France,Female,Loyal Customer,59,23-11-2008,Business travel,Business,733,5,5,5,5,3,4,5,5,5,5,5,3,5,4,48,49,4.57,very satisfied
34449,Air India,Male,Loyal Customer,76,04-06-2013,Business travel,Business,228,1,1,1,1,2,4,3,1,1,1,1,1,1,4,0,13,1.64,very dissatisfied
97510,Indigo,Male,Loyal Customer,22,03-09-2004,Business travel,Business,1750,5,5,3,5,5,5,5,5,4,3,4,5,4,5,0,0,4.5,very satisfied
28818,Emirates,Female,Loyal Customer,46,04-09-2006,Business travel,Business,2447,4,4,2,4,2,1,3,5,5,5,5,1,5,2,0,0,3.43,neutral
89805,ANA All Nippon Airways,Female,disloyal Customer,17,16-05-2021,Business travel,Eco,1089,3,4,4,1,3,4,3,3,3,3,4,3,5,3,0,0,3.29,neutral
37754,Delta Air Lines,Male,Loyal Customer,46,20-02-2001,Business travel,Eco Plus,1069,4,4,2,4,3,4,3,3,2,4,3,2,5,3,117,125,3.29,neutral
3024,ANA All Nippon Airways,Female,Loyal Customer,18,09-04-2011,Personal Travel,Eco,922,1,5,1,1,2,1,5,2,4,4,4,3,5,2,0,6,2.86,dissatisfied
121173,Qatar Airways,Female,Loyal Customer,28,20-04-2010,Personal Travel,Eco,2370,4,5,4,3,3,4,3,3,5,4,4,5,4,3,3,,3.86,satisfied
12171,Vistara,Female,Loyal Customer,37,15-03-2017,Business travel,Business,1075,5,5,5,5,1,1,1,4,4,4,4,2,4,4,3,0,3.5,neutral
114682,Indigo,Female,Loyal Customer,43,25-08-2000,Business travel,Business,3527,5,5,5,5,4,5,5,4,4,4,4,3,4,3,0,0,4.29,satisfied
66576,Delta Air Lines,Female,disloyal Customer,25,06-02-2023,Business travel,Business,624,2,5,2,4,5,2,5,5,5,5,4,5,5,5,0,0,4.21,satisfied
44773,Air India,Male,Loyal Customer,31,24-02-2010,Business travel,Business,1820,2,2,2,2,2,2,2,2,3,3,3,1,3,2,0,1,2.21,dissatisfied
74985,Air France,Female,Loyal Customer,62,12-09-2011,Personal Travel,Eco,2475,3,4,3,2,2,3,4,5,5,3,5,5,5,4,0,0,3.79,neutral
48993,Vistara,Male,Loyal Customer,55,12-12-2015,Business travel,Eco,199,5,3,3,3,5,5,5,5,1,4,3,4,5,5,40,40,4,satisfied
